Word	Meaning	Top5
клуб	клуб.2	ресторан, бар, пансионат, пансион, магазин
клуб	клуб.3	рубашке, тиши, сорочке, вылазке, рубашки
клуб	клуб.4	матч, турнир, марафон, бал, чемпионат
клуб	клуб.5	кружок, колледж, форум, сленг, коллектив
клык	клык.1	Клык, Коготь, Зуб, Рог, Хребет
клык	клык.2	зуб, коготь, клинок, шип, бивень
ключ	ключ.1	доступ, путь, подход, подступ, допуск
ключ	ключ.2	ключи, ключик, отмычку, пистолет, револьвер
книга	книга.1	книжка, статья, брошюра, фраза, пьеса
книжка	книжка.1	книга, книжечка, книжица, сказка, статья
князь	князь.1	Князь, Магистр, Инквизитор, Мудрец, Могол
князь	князь.2	визирь, государь, магистр, боярин, княжич
коготь	коготь.1	Коготь, Глаз, Клюв, Зуб, Клык
коготь	коготь.2	клинок, клык, клюв, нож, кинжал
кожа	кожа.1	кожица, шерстка, шкура, шея, лысина
колдовство	колдовство.1	волшебство, чародейство, заклинание, заклятие, заклятье
количество	количество.1	число, скопление, множество, разнообразие, расстояние
кольцо	кольцо.1	перстень, браслет, цепочку, шляпу, наручники
кольцо	кольцо.2	колечко, ожерелье, колье, зеркало, полукольцо
команда	команда.1	семья, компания, группа, бригада, деревня
командир	командир.1	командиром, штурманом, замполитом, комсоргом, комиссаром
командир	командир.2	Командир, Командира, Командиром, Командиру, Штаб
командир	командир.3	бойцы, летчики, офицеры, военнослужащие, подразделения
командир	командир.4	танковые, стрелковые, механизированные, пехотные, штурмовые
командир	командир.5	генерал, контр, обер, вице, штабс
командир	командир.6	саперного, истребительного, штурмового, пулеметного, комендантского
командир	командир.7	командиру, комсорг, замполит, комиссар, военком
командир	командир.8	командующий, командуя, командовавший, командование, командовавшего
комета	комета.1	звезда, молния, птица, стрела, звездочка
компания	компания.1	компашка, семейка, вечеринка, парочка, работа
компания	компания.2	троица, фирма, семья, команда, четверка
комплекс	комплекс.1	центр, спектр, блок, модуль, отсек
компьютер	компьютер.1	телевизор, магнитофон, комп, диктофон, кондиционер
конфликт	конфликт.1	спор, разлад, разрыв, скандал, антагонизм
конфликт	конфликт.2	разногласия, конфликты, противоречия, трения, раздоры
конфликт	конфликт.3	противоречие, столкновение, различие, расхождение, соперничество
конфликт	конфликт.4	ссору, размолвку, драку, конфронтацию, распрю
концерт	концерт.1	спектакль, бал, банкет, пир, обед
коньяк	коньяк.1	водку, вино, шампанское, пиво, чай
корабль	корабль.1	катер, самолет, вертолет, флот, челнок
костюм	костюм.1	пиджак, костюмчик, сюртук, комбинезон, жакет
кошка	кошка.1	собака, кошечка, крыса, пантера, птица
кошка	кошка.2	футболка, майка, куртка, шляпа, шерстка
краситель	краситель.1	цвет, пигмент, оттенок, лак, окрас
краситель	краситель.2	желатин, крахмал, каучук, корм, мед
краситель	краситель.3	йод, аммиак, фосфор, холестерин, кальций
краситель	краситель.4	продукт, препарат, фермент, ингредиент, материал
краска	краска.1	штукатурка, кровь, помада, позолота, косынка
красный	красный.1	желтый, зеленый, синий, алый, оранжевый
красота	красота.1	грация, чистота, красавица, простота, доброта
крахмал	крахмал.1	желатин, сахар, дрожжи, уксус, муку
крахмал	крахмал.2	холестерин, углеводы, жиры, кальций, кофеин
кризис	кризис.1	спад, коллапс, застой, подъем, конфликт
критерий	критерий.1	принцип, показатель, фактор, аргумент, ориентир
критерий	критерий.2	прописные, азбучные, непреложные, вечные, абсолютные
кровь	кровь.1	грязь, пот, пену, тушь, краску
кровь	кровь.2	ярость, злость, злоба, обида, боль
кровь	кровь.3	молоко, нектар, сок, водку, соки
кровь	кровь.4	ручьем, ручьями, рекой, фонтаном, струей
кровь	кровь.5	вода, слюна, пена, краска, сперма
круг	круг.1	спектр, диапазон, проход, коридор, сферу
круг	круг.2	полукруг, крут, кружок, квадрат, прямоугольник
круг	круг.3	вираж, разворот, пируэт, виток, цикл
круг	круг.4	дугу, окружность, петлю, круги, цепь
крыло	крыло.1	полушарие, бедро, плечо, колено, крылышко
крыса	крыса.1	кошка, мышь, собака, обезьяна, свинья
куб	куб.1	шар, цилиндр, прямоугольник, параллелепипед, цилиндрик
кулак	кулак.1	кулачок, кулаки, меч, топор, кулачки
культура	культура.1	цивилизация, литература, поэзия, философия, традиция
купец	купец.1	бизнесмен, торговец, коммерсант, дворянин, крестьянин
куртка	куртка.1	курточка, безрукавка, жилетка, рубашка, рубаха
куст	куст.1	кусты, кусте, заросли, кустах, зарослях
куст	куст.2	сироп, сок, кисель, отвар, джем
куст	куст.3	кустик, кустарник, дуб, цветок, бутон
кустарник	кустарник.1	подлесок, ельник, лес, бурьян, камыш
кустарник	кустарник.2	человечек, мужичонка, мужичок, брюнет, шатен
лавка	лавка.1	лавочка, мастерская, фабрика, скамья, лавчонка
легкий	легкий.1	слабый, легчайший, тихий, негромкий, резкий
легкий	легкий.2	прохладный, нежный, свежий, неприятный, приятный
ли	ли.1	различимо, удержался, умри, начавшись, слышно
ли	ли.2	ль, лн, рассказать, напоминать, морочить
ли	ли.3	поделать, выговорить, воскликнуть, выдохнуть, угомониться
ли	ли.4	оказаться, быть, статься, находиться, пострадать
ли	ли.5	же, именно, б, , что
лилия	лилия.1	роза, звезда, орхидея, гвоздика, цапля
линия	линия.1	полоса, черточка, точка, полоска, складка
линия	линия.2	станция, стратегия, черта, наводка, позиция
литература	литература.1	культура, поэзия, интеллигенция, проза, наука
лихорадка	лихорадка.1	суматоха, суета, давка, бомбежка, кутерьма
лихорадка	лихорадка.2	горячка, малярия, депрессия, тошнота, рвота
лихорадка	лихорадка.3	роза, рыбка, клетка, медаль, змейка
личность	личность.1	индивидуальность, сущность, реальность, натуру, ценность
личность	личность.2	особа, натура, фигура, персона, вещь
лишение	лишение.1	унижение, оскорбление, стеснение, потрясение, разочарование
лишение	лишение.2	водительские, авторские, имущественные, гражданские, исключительные
лишение	лишение.3	лишением, ограничение, лишили, лишению, ущемление
лишение	лишение.4	удостоенный, вручение, присуждение, удостоенного, удостоена
логика	логика.1	интуиция, арифметика, психология, красота, закономерность
логика	логика.2	наблюдательность, вежливость, солидарность, порядочность, расчетливость
лодка	лодка.1	шлюпка, яхта, лодочка, ладья, моторка
лопух	лопух.1	идиот, болван, кретин, дурак, придурок
лопух	лопух.2	подорожник, одуванчик, папоротник, чистотел, огурец
лук	лук.1	арбалет, меч, автомат, посох, винтовку
лук	лук.2	чеснок, морковь, картофель, сельдерей, петрушку
луна	луна.1	звезда, Луна, заря, радуга, звездочка
любовь	любовь.1	страсть, привязанность, ненависть, нежность, жалость
маг	маг.1	волшебник, воин, колдун, чародей, эльф
магия	магия.1	метка, смородина, кошка, дыра, пантера
магия	магия.2	сила, волшба, техника, стихия, химия
мама	мама.1	мать, бабушка, жена, сестра, подруга
мама	мама.2	она, Наташа, Катя, Маша, Лена
масса	масса.1	причина, цель, задача, функция, тема
масса	масса.2	куча, уйма, множество, прорва, много
масса	масса.3	бездна, субстанция, толпа, кашица, громада
мастерство	мастерство.1	искусство, дарование, мужество, ремесло, чутье
масштаб	масштаб.1	размах, размер, смысл, трагизм, объем
масштаб	масштаб.2	скорость, громкость, амплитуду, яркость, дозу
масштаб	масштаб.3	масштабы, масштабность, размеры, грандиозность, важность
математик	математик.1	ученый, физик, философ, писатель, поэт
материал	материал.1	инструмент, объект, документ, опыт, экспонат
материя	материя.1	субстанция, ткань, оболочка, бумага, пленка
материя	материя.2	природа, энергия, Вселенная, вселенная, сила
мать	мать.1	мама, жена, бабушка, сестра, подруга
мать	мать.2	маму, сестру, жену, бабушку, подругу
машина	машина.1	карета, повозка, коляска, двуколка, телега
мебель	мебель.1	обувь, одежду, технику, аппаратуру, еду
мебель	мебель.2	утварь, одежда, посуда, кровать, кушетка
мебель	мебель.3	трость, софу, кушетку, посуду, скамью
мебель	мебель.4	стулья, столы, акценты, фишки, ноги
мед	мед.1	сахар, сметану, соль, желатин, майонез
мед	мед.2	нектар, уксус, кефир, сироп, воск
медицина	медицина.1	наука, психиатрия, цивилизация, психология, техника
мелочь	мелочь.1	деталь, ерунда, дребедень, живность, подробность
мелочь	мелочь.2	копейку, пылинку, минуту, черточку, песчинку
мелочь	мелочь.3	монеты, медяки, наличность, сдачу, купюры
мелочь	мелочь.4	ерунду, мелочевку, чепуху, белиберду, мелочовку
мероприятие	мероприятие.1	предприятие, событие, действо, учреждение, занятие
металл	металл.1	камень, свинец, чугун, асфальт, воск
металл	металл.2	клинок, кинжал, нож, скальпель, ствол
металл	металл.3	колокольчик, гонг, трамвай, колокол, колокольчиком
метод	метод.1	прием, подход, способ, термин, принцип
мех	мех.1	ворс, ковер, шелк, пушок, мох
механизм	механизм.1	инструмент, процесс, принцип, прием, рефлекс
механизм	механизм.2	прибор, аппарат, агрегат, рычаг, крючок
механик	механик.1	инженер, врач, лейтенант, офицер, артиллерист
меч	меч.1	клинок, кинжал, нож, саблю, топор
минерал	минерал.1	камень, кристалл, металл, кварц, самоцвет
минерал	минерал.2	феномен, артефакт, документ, экспонат, материал
млекопитающее	млекопитающее.1	животное, существо, насекомое, пресмыкающееся, растение
мозг	мозг.1	плавник, позвоночник, сустав, хрящ, позвонок
мозг	мозг.2	разум, организм, ум, рассудок, муж
мозг	мозг.3	убор, болью, боли, дозор, обтекатель
мозг	мозг.4	компьютер, двигатель, офис, процессор, коммуникатор
мозг	мозг.5	интеллект, череп, род, геном, скелет
мозг	мозг.6	мозги, слух, бицепс, извилины, зрение
молитва	молитва.1	трапеза, месса, мольба, вера, литургия
моллюск	моллюск.1	спрут, зверь, червяк, гриб, червь
монгол	монгол.1	воин, мужчина, человек, казах, китаец
монета	монета.1	монетка, серьга, купюра, корона, медаль
монета	монета.2	колония, валюта, культура, буржуазия, нация
мотив	мотив.1	мотивчик, сюжет, аргумент, повод, напев
мотоцикл	мотоцикл.1	автомобиль, джип, грузовик, машину, велосипед
мошка	мошка.1	мошкара, муха, бабочка, оса, букашка
мощь	мощь.1	силу, сила, энергию, мощность, жестокость
мощь	мощь.2	выправка, подготовка, доктрина, выучка, разведка
муж	муж.1	отец, супруг, брат, жених, приятель
мужчина	мужчина.1	мужик, парень, брюнет, блондин, крепыш
музыка	музыка.1	улыбка, тишина, истома, теплота, насмешка
музыка	музыка.2	канонада, стрельба, пальба, сирена, ругань
музыка	музыка.3	мелодия, песня, песенка, музычка, колыбельная
музыка	музыка.4	гармошка, гитара, скрипка, флейта, гармонь
мука	мука.1	пытка, каша, пустота, духота, агония
мука	мука.2	крупа, лепешка, Мука, солома, сметана
мука	мука.3	тоска, скука, печаль, грусть, боль
мускул	мускул.1	атом, винтик, изгиб, закоулок, стежок
мускул	мускул.2	дюйм, сантиметр, миллиметр, метр, вершок
мускул	мускул.3	мускулов, мышц, мускулатурой, мышце, мышцах
мускул	мускул.4	провод, канат, тросик, трос, шнур
мускул	мускул.5	нерв, кадык, бицепс, волосок, сустав
муха	муха.1	оса, пчела, птица, мошка, бабочка
мысль	мысль.1	идею, догадку, гипотезу, тему, версию
мысль	мысль.2	идея, догадка, мыслишка, новость, фраза
мышца	мышца.1	артерия, клеточка, жилка, вена, косточка
мышца	мышца.2	кость, диафрагма, шея, спина, щека
мясо	мясо.1	сало, баранину, яйцо, ветчину, печенье
наблюдение	наблюдение.1	следить, наблюдать, присматривать, ухаживать, приглядывать
наблюдение	наблюдение.2	замечание, сравнение, умозаключение, исследование, соображение
наблюдение	наблюдение.3	слежение, слежку, расследование, борьбу, патрулирование
наблюдение	наблюдение.4	надзор, контроль, присмотр, уход, наблюдением
навык	навык.1	опыт, рефлекс, инструмент, компонент, урок
награда	награда.1	плата, премия, компенсация, пенсия, расплата
нападение	нападение.1	покушение, вторжение, атаку, наступление, посягательство
напасть	напасть.1	посягнуть, покуситься, наброситься, нападать, взойти
напиток	напиток.1	коктейль, чай, коньяк, ликер, кофе
народ	народ.1	национализм, люд, язык, писатель, националист
насекомое	насекомое.1	шипение, кудахтанье, бульканье, кваканье, хрюканье
насекомое	насекомое.2	животное, существо, чудовище, пресмыкающееся, растение
наследственность	наследственность.1	примета, погода, привычка, репутация, новость
наука	наука.1	медицина, литература, психология, культура, цивилизация
нация	нация.1	страна, армия, культура, держава, раса
начальник	начальник.1	Начальник, Начальника, Начальником, Начальнику, Сотрудник
начальник	начальник.2	преподаватель, выпускник, профессор, выпускником, аспирант
начальник	начальник.3	Генерального, генерального, Главного, КРО, ГРУ
начальник	начальник.4	Оперативного, Специального, убойного, Особого, контрразведывательного
начальник	начальник.5	начальником, шефом, сотрудником, начальницей, руководителем
начальник	начальник.6	замначальника, начальнику, шеф, руководитель, сотрудник
необходимость	необходимость.1	надобность, нужда, целесообразность, реальность, неизбежность
необходимость	необходимость.2	потребность, резь, уверенность, нужду, неуверенность
необходимость	необходимость.3	требующие, требующих, требующим, требующий, требующая
необходимость	необходимость.4	основе, ниве, путях, стадии, примере
несчастье	несчастье.1	несчастие, счастье, неосторожность, бедствие, чудо
нетерпение	нетерпение.1	беспокойство, волнение, раздражение, отчаяние, любопытство
нога	нога.1	рука, лодыжка, ступня, щека, коленка
нога	нога.2	жена, мать, мама, дочь, совесть
нога	нога.3	ножка, лопатка, туфля, фара, лыжа
нож	нож.1	кинжал, меч, клинок, пистолет, топор
ножка	ножка.1	нога, ручка, фигурка, шейка, шея
номер	номер.1	высоту, обороты, скорость, справочную, разбег
номер	номер.2	обед, разговор, банкет, ужин, прием
номер	номер.3	код, нумер, люкс, номерок, адрес
номер	номер.4	номера, сотового, мобильного, спутникового, номером
норма	норма.1	доза, ставка, процедура, форма, основа
нос	нос.1	носик, лоб, подбородок, носы, переносицу
нос	нос.2	клюв, форштевень, бушприт, киль, хоботок
нос	нос.3	уздцы, дых, псевдонимом, присягой, микроскопом
ночью	ночью.1	вечером, утром, днем, поутру, вечеромъ
ночью	ночью.2	полночью, погоде, погодой, погоды, слякоти
ночью	ночью.3	зимой, осенью, весной, неделе, осени
ночью	ночью.4	дыре, расщелине, ложбине, яме, нише
ночью	ночью.5	депрессии, древности, задумчивости, печали, медитации
ночью	ночью.6	затемно, пораньше, спозаранку, спозаранок, рано
ночью	ночью.7	ночи, поре, вечеринке, инкарнации, ночкой
ночью	ночью.8	ночами, нагишом, босиком, вечерами, полночи
нрав	нрав.1	характер, норов, темперамент, лад, задор
нрав	нрав.2	тон, вид, смех, оскал, прищур
нрав	нрав.3	поступок, мальчишка, народец, зверь, юнец
обезьяна	обезьяна.1	крыса, кошка, тварь, свинья, скотина
оборудование	оборудование.1	снаряжение, устройство, оснащение, вооружение, приспособление
образ	образ.1	уклад, стиль, ритм, образъ, облик
образ	образ.2	промысел, Дух, храм, Промысл, Промысел
обстановка	обстановка.1	ситуация, атмосфера, конъюнктура, среда, погода
общество	общество.1	государство, сообщество, правительство, законодательство, искусство
объединение	объединение.1	соединение, единство, сообщество, воссоединение, сплочение
одежда	одежда.1	рубашка, куртка, рубаха, футболка, туника
ожерелье	ожерелье.1	колье, кольцо, колечко, украшение, платье
ожерелье	ожерелье.2	браслет, пенсне, цепочку, бюстгальтер, бусы
ожог	ожог.1	ожоги, рану, ссадину, ранку, царапину
ожог	ожог.2	ушиб, жар, шок, озноб, дискомфорт
ожог	ожог.3	шрам, порез, синяк, рубец, кровоподтек
опасность	опасность.1	угрозу, угроза, ценность, трудность, беда
опасность	опасность.2	подвох, неладное, недоброе, усталость, фальшь
операция	операция.1	акция, процедура, работа, поездка, экспедиция
опухоль	опухоль.1	сотрясение, отек, рак, воспаление, опухоли
опухоль	опухоль.2	припухлость, гематома, шишка, киста, язва
опухоль	опухоль.3	шишку, гематому, бородавку, язву, вмятину
опухоль	опухоль.4	аппендикс, почку, аппендицит, гланды, кисту
опыт	опыт.1	стаж, навык, вклад, потенциал, материал
орган	орган.1	аппарат, чиновник, комитет, механизм, акт
организация	организация.1	структура, программа, группировка, идеология, пропаганда
орден	орден.1	колледж, сан, постриг, турнир, чин
орден	орден.2	орденом, орденами, Орденом, Орденами, медалью
орден	орден.3	Орден, монастырь, костел, собор, аббатство
орден	орден.4	медаль, приз, премию, награду, Медаль
орден	орден.5	крест, Крест, доспех, клобук, шлем
орудие	орудие.1	орудия, орудии, орудием, пушки, орудиях
орудие	орудие.2	ружье, пушку, винтовку, пистолет, пулемет
орудие	орудие.3	оружие, средство, вооружение, приспособление, оборудование
орудие	орудие.4	мотив, нераскрытые, соучастник, Орудие, соучастника
орудие	орудие.5	заказные, массовые, ритуальные, преднамеренного, серийные
оружие	оружие.1	орудие, снаряжение, вооружение, оборудование, лекарство
оружие	оружие.2	ружье, пистолет, револьвер, копье, пистолеты
отвращение	отвращение.1	недоверие, презрение, омерзение, уважение, сострадание
отец	отец.1	муж, дед, папа, брат, дедушка
отец	отец.2	отче, старец, игумен, архимандрит, святой
открытие	открытие.1	событие, зрелище, известие, обстоятельство, изобретение
отношение	отношение.1	значение, влияние, впечатление, право, воздействие
отношение	отношение.2	касательство, пристрастие, обращение, уважение, презрение
отчаяние	отчаяние.1	изумление, бешенство, волнение, разочарование, нетерпение
офицер	офицер.1	сержант, лейтенант, полковник, майор, летчик
охота	охота.1	облава, драка, битва, война, погоня
охота	охота.2	захочется, хочется, хотца, хочу, вредно
охрана	охрана.1	сиделка, секретарша, медсестра, горничная, няня
охрана	охрана.2	стража, гвардия, защита, прислуга, свита
ощущение	ощущение.1	чувство, предчувствие, зрелище, впечатление, видение
палец	палец.1	пальчик, ладонь, руку, мизинец, перст
палочка	палочка.1	палка, трубочка, трубка, флейта, шкатулка
папа	папа.1	Папа, император, понтифик, патриций, сенат
папа	папа.2	отец, муж, дедушка, дед, брат
папа	папа.3	святитель, святой, епископ, пресвитер, апостол
папоротник	папоротник.1	сирень, черемуха, сакура, липа, вишня
папоротник	папоротник.2	кустарник, вереск, шиповник, тростник, камыш
партия	партия.1	идеология, фракция, пропаганда, оппозиция, революция
паук	паук.1	жук, зверь, червяк, дракон, таракан
переживание	переживание.1	событие, потрясение, явление, ощущение, наслаждение
персонал	персонал.1	медперсонал, работник, коллектив, экипаж, эксперт
перстень	перстень.1	браслет, кулон, медальон, перстенек, обруч
пилот	пилот.1	летчик, разведчик, стрелок, боец, воин
пирог	пирог.1	торт, кекс, пудинг, пирожок, рулет
писатель	писатель.1	поэт, ученый, философ, историк, композитор
питание	питание.1	освещение, кормление, образование, самочувствие, воспитание
питание	питание.2	отопление, электропитание, электричество, зажигание, сигнализацию
пища	пища.1	еда, закуска, жратва, диета, приправа
пища	пища.2	похлебка, свинина, баранина, рыба, картошка
планета	планета.1	страна, деревня, галактика, Галактика, вселенная
плащ	плащ.1	халат, пиджак, жакет, камзол, сюртук
плод	плод.1	порождение, проекция, основа, следствие, вершина
плод	плод.2	фрукт, персик, результат, продукт, помидор
поведение	поведение.1	предложение, времяпрепровождение, присутствие, предположение, объяснение
повреждение	повреждение.1	ранение, сотрясение, увечье, препятствие, упущение
повреждение	повреждение.2	повреждения, поломку, неполадки, неполадку, неисправность
погода	погода.1	погодка, слышимость, обстановка, еда, новость
погода	погода.2	осень, жара, теплынь, зима, морось
подвиг	подвиг.1	преступление, проступок, ошибку, самоубийство, невозможное
подвиг	подвиг.2	поступок, героизм, труд, энтузиазм, долг
подготовка	подготовка.1	тяга, готовность, неподготовленность, апелляция, близость
подготовка	подготовка.2	выучка, техника, тренировка, работа, закалка
поиск	поиск.1	поиски, полет, преследование, розыск, расследование
поиск	поиск.2	отыскание, выявление, добывание, получение, поиске
политик	политик.1	бизнесмен, дипломат, писатель, журналист, полководец
политика	политика.1	стратегия, экспансия, позиция, реформа, элита
полководец	полководец.1	военачальник, поэт, стратег, политик, воин
положение	положение.1	состояние, положеніе, место, поведение, значение
попугай	попугай.1	дракон, голубь, скворец, ворон, кот
попугай	попугай.2	попугайчик, горошек, ковер, какаду, шарф
последствие	последствие.1	следствие, результат, продолжение, последствия, событие
пособие	пособие.1	жалованье, вознаграждение, жалование, вспомоществование, довольствие
пособие	пособие.2	зарплату, пенсию, проценты, стипендию, алименты
постройка	постройка.1	пристройка, башня, хижина, конструкция, башенка
поступок	поступок.1	проступок, подвиг, фарс, жест, розыгрыш
поступок	поступок.2	человек, юноша, эгоист, рыцарь, трус
посуда	посуда.1	ваза, утварь, чернильница, тарелка, ложечка
потребность	потребность.1	вовлеченность, активность, ценность, неполноценность, включенность
потребность	потребность.2	необходимость, уверенность, неуверенность, резь, нужду
походка	походка.1	собранность, умиротворенность, самоуверенность, плавность, угловатость
походка	походка.2	осанка, поступь, поза, грация, улыбка
поэт	поэт.1	писатель, художник, философ, композитор, ученый
правило	правило.1	привилегию, неумение, нежелания, неумения, нежелание
правило	правило.2	условие, требование, понятие, соображение, обстоятельство
правительство	правительство.1	посольство, государство, консульство, командование, руководство
правление	правление.1	государство, правительство, общество, руководство, управление
правление	правление.2	царствование, свите, жизнеописании, присутствии, эпоху
праздник	праздник.1	бал, пир, банкет, пикник, карнавал
предприятие	предприятие.1	мероприятие, начинание, учреждение, путешествие, предпринимательство
препарат	препарат.1	наркотик, метод, стимулятор, антибиотик, яд
препятствие	препятствие.1	затруднение, испытание, осложнение, неудобство, преимущество
пресмыкаться	пресмыкаться.1	преклоняться, унижаться, заискивать, предстать, склониться
преступность	преступность.1	пиратство, взяточничество, пьянство, инакомыслие, казнокрадство
преступность	преступность.2	культура, литература, оппозиция, политика, психология
преступность	преступность.3	банда, проститутка, шпана, шлюха, шваль
преступность	преступность.4	напряженность, неуверенность, сексуальность, влюбленность, панику
преступность	преступность.5	коррупцию, проституцию, безграмотность, анархию, безнравственность
преступность	преступность.6	проституция, коррупция, наркомания, торговля, анархия
преступность	преступность.7	безработица, смертность, рождаемость, инфляция, заболеваемость
прибор	прибор.1	аппарат, инструмент, компьютер, приемник, сканер
привычка	привычка.1	манера, примета, шутка, традиция, выучка
привычка	привычка.2	тяга, антипатия, нелюбовь, привязанность, склонность
привычка	привычка.3	приучена, вынуждена, склонна, настроена, обязана
привязанность	привязанность.1	любовь, неприязнь, склонность, страсть, симпатию
прием	прием.1	трюк, метод, маневр, приемчик, термин
прием	прием.2	банкет, бал, пир, ужин, обед
призрак	призрак.1	монстр, демон, ангел, Призрак, маньяк
призрак	призрак.2	шепот, вопль, шепоток, рык, всхлип
призрак	призрак.3	мираж, силуэт, фантом, кошмар, сон
пример	пример.1	противоположность, противовес, назидание, угоду, пику
пример	пример.2	эпизод, отрывок, примеры, вариант, образчик
примета	примета.1	поговорка, шутка, новость, привычка, наследственность
принадлежность	принадлежность.1	идентичность, солидарность, общность, рознь, обособленность
принадлежность	принадлежность.2	причастность, склонность, нетерпимость, предрасположенность, неприязнь
прическа	прическа.1	стрижка, одежда, поза, идея, походка
прическа	прическа.2	шляпка, челка, шевелюра, шляпа, бородка
причина	причина.1	проблема, цель, трудность, задача, ошибка
проблема	проблема.1	трудность, задача, тема, загвоздка, дилемма
прогулка	прогулка.1	поездка, пробежка, экскурсия, беседа, разминка
продажа	продажа.1	продажей, перепродажей, сбытом, скупкой, продавцом
продажа	продажа.2	распродажа, сделка, встреча, передача, кража
продажа	продажа.3	покупка, продажу, скупка, продажи, конфискация
продажа	продажа.4	Продажа, Покупка, Доставка, Приобретение, Опись
продукт	продукт.1	результат, товар, ресурс, плод, материал
продукция	продукция.1	работа, фирма, промышленность, индустрия, техника
проект	проект.1	план, эксперимент, замысел, документ, характер
проекция	проекция.1	матрица, сфера, картинка, голограмма, плод
происхождение	происхождение.1	предназначение, гражданство, общество, наречие, произношение
профессия	профессия.1	работа, специальность, вещь, штука, тема
профессор	профессор.1	историк, биолог, литературовед, реформатор, зоолог
профессор	профессор.2	прикладной, сравнительной, молекулярной, экспериментальной, неклассической
профессор	профессор.3	преподаватель, выпускник, доцент, ректор, профессора
профессор	профессор.4	Северус, Основы, Институт, Учебник, Преподаватель
процедура	процедура.1	операция, церемония, практика, сцена, история
процесс	процесс.1	феномен, характер, факт, цикл, метод
процесс	процесс.2	процессе, процессах, стадии, ходе, методах
пряность	пряность.1	приправа, асана, методика, процедура, тема
пряность	пряность.2	сладость, пикантность, прелесть, элегантность, привлекательность
пряность	пряность.3	пищу, руду, еду, пушнину, нефть
психотерапия	психотерапия.1	терапия, психология, философия, антропология, медицина
птица	птица.1	птичка, бабочка, чайка, сова, птаха
пулемет	пулемет.1	вязки, клади, гранатой, лебедкой, выделки
пулемет	пулемет.2	автомат, гранатомет, миномет, арбалет, карабин
пулемет	пулемет.3	пулемета, пулеметы, пулеметом, пулеметами, пулеметов
пулемет	пулемет.4	мотор, мотоцикл, двигатель, проектор, насос
пулемет	пулемет.5	танк, пулеметчик, бомбардировщик, бронепоезд, самолет
пункт	пункт.1	этап, пост, параграф, рубеж, модуль
путешествие	путешествие.1	плавание, странствие, восхождение, приключение, плаванье
путешествие	путешествие.2	поездку, прогулку, экскурсию, полет, поход
путь	путь.1	стезю, пути, ниве, путях, алтарь
путь	путь.2	дорогу, тропу, тропинку, дорожку, тропку
путь	путь.3	маршрут, полет, спуск, доступ, перелет
путь	путь.4	проход, проезд, коридор, фарватер, туннель
пушка	пушка.1	гаубица, винтовка, артиллерия, мортира, батарея
пушка	пушка.2	пушкой, пушки, пушек, пушками, пушке
работа	работа.1	задача, профессия, работенка, миссия, игра
работник	работник.1	сотрудник, специалист, руководитель, чиновник, функционер
работник	работник.2	персонал, деятель, актив, центр, институт
рабочий	рабочий.1	десятый, одиннадцатый, третий, пятый, девятый
рабочий	рабочий.2	операционный, служебный, директорский, письменный, массажный
рабочий	рабочий.3	правящий, господствующий, средний, креативный, привилегированный
рабочий	рабочий.4	съемочный, завтрашний, выходной, Судный, базарный
разведка	разведка.1	контрразведка, авиация, армия, агентура, дипломатия
разговор	разговор.1	спор, диалог, рассказ, поединок, допрос
разговор	разговор.2	беседу, дискуссию, переговоры, игру, перепалку
размах	размах.1	масштаб, резонанс, вес, успех, энтузиазм
размер	размер.1	этаж, класс, ярус, год, километр
размер	размер.2	увеличение, повышение, уменьшение, снижение, сокращение
размер	размер.3	диаметр, вес, калибр, возраст, объем
размер	размер.4	величина, сумма, толщину, величину, длину
размер	размер.5	выплата, выплату, выплате, уплата, получение
разница	разница.1	дистанция, проблема, различие, корреляция, разность
разум	разум.1	ум, организм, интеллект, эгоизм, облик
разум	разум.2	рассудок, сознание, самообладание, самоконтроль, равновесие
разум	разум.3	мозг, отец, муж, собеседник, приятель
ракета	ракета.1	стрела, торпеда, граната, бомба, пуля
рана	рана.1	травма, авария, ошибка, тайна, сцена
рана	рана.2	схватка, бойня, сеча, резня, свалка
рана	рана.3	болезнь, обида, контузия, депрессия, усталость
рана	рана.4	ранка, царапина, ссадина, язва, пробоина
рана	рана.5	лодыжка, нога, коленка, спина, шея
раса	раса.1	цивилизация, нация, каста, страна, планета
растение	растение.1	животное, дерево, существо, насекомое, вещество
растительность	растительность.1	поросль, зелень, трава, живность, флора
реакция	реакция.1	атака, позиция, разрядка, тактика, предосторожность
ребенок	ребенок.1	малыш, мальчик, младенец, мальчишка, щенок
ребенок	ребенок.2	сын, пациент, муж, клиент, внук
революция	революция.1	литература, война, Революция, культура, катастрофа
результат	результат.1	эффект, продукт, следствие, успех, ответ
река	река.1	речка, речушка, вода, Темза, Нева
религия	религия.1	вера, культура, мифология, традиция, философия
ремесло	ремесло.1	искусство, занятие, мастерство, дело, призвание
рептилия	рептилия.1	тварь, ящерица, змея, птица, обезьяна
репутация	репутация.1	жена, мать, подруга, сестра, невеста
репутация	репутация.2	карьера, семья, примета, слава, погода
родственник	родственник.1	рейс, космос, бомбардировщик, Восток, заброс
родственник	родственник.2	родич, племянник, сосед, брат, предок
родственник	родственник.3	холостяк, вельможа, крестьянин, сановник, помещик
родственник	родственник.4	гастроном, бархан, супермаркет, лесок, райцентр
рожа	рожа.1	морда, физиономия, харя, образина, мордочка
